Time_step, Time, Epot, Ekin, Etot
413, 4.130000, -0.088066, 0.316836, 0.228770
414, 4.140000, -0.087887, 0.316667, 0.228779
415, 4.150000, -0.087709, 0.316497, 0.228788
416, 4.160000, -0.087531, 0.316328, 0.228796
417, 4.170000, -0.087353, 0.316158, 0.228805
418, 4.180000, -0.087175, 0.315988, 0.228814
419, 4.190000, -0.086997, 0.315819, 0.228822
420, 4.200000, -0.086818, 0.315649, 0.228831
421, 4.210000, -0.086640, 0.315479, 0.228839
422, 4.220000, -0.086462, 0.315310, 0.228848
423, 4.230000, -0.086283, 0.315140, 0.228856
424, 4.240000, -0.086105, 0.314970, 0.228865
425, 4.250000, -0.085927, 0.314800, 0.228874
426, 4.260000, -0.085748, 0.314630, 0.228882
427, 4.270000, -0.085570, 0.314460, 0.228891
428, 4.280000, -0.085391, 0.314290, 0.228899
429, 4.290000, -0.085213, 0.314120, 0.228908
430, 4.300000, -0.085034, 0.313950, 0.228916
431, 4.310000, -0.084856, 0.313780, 0.228924
432, 4.320000, -0.084678, 0.313610, 0.228933
433, 4.330000, -0.084499, 0.313440, 0.228941
434, 4.340000, -0.084321, 0.313270, 0.228950
435, 4.350000, -0.084142, 0.313100, 0.228958
436, 4.360000, -0.083964, 0.312930, 0.228967
437, 4.370000, -0.083785, 0.312760, 0.228975
438, 4.380000, -0.083607, 0.312590, 0.228983
439, 4.390000, -0.083429, 0.312420, 0.228992
440, 4.400000, -0.083250, 0.312250, 0.229000
441, 4.410000, -0.083072, 0.312080, 0.229008
442, 4.420000, -0.082894, 0.311910, 0.229017
443, 4.430000, -0.082715, 0.311740, 0.229025
444, 4.440000, -0.082537, 0.311570, 0.229033
445, 4.450000, -0.082359, 0.311400, 0.229041
446, 4.460000, -0.082181, 0.311230, 0.229050
447, 4.470000, -0.082002, 0.311060, 0.229058
448, 4.480000, -0.081824, 0.310890, 0.229066
449, 4.490000, -0.081646, 0.310721, 0.229074
450, 4.500000, -0.081468, 0.310551, 0.229082
451, 4.510000, -0.081290, 0.310381, 0.229091
452, 4.520000, -0.081112, 0.310211, 0.229099
453, 4.530000, -0.080934, 0.310041, 0.229107
454, 4.540000, -0.080756, 0.309871, 0.229115
455, 4.550000, -0.080579, 0.309702, 0.229123
456, 4.560000, -0.080401, 0.309532, 0.229131
457, 4.570000, -0.080223, 0.309362, 0.229139
458, 4.580000, -0.080045, 0.309193, 0.229147
459, 4.590000, -0.079868, 0.309023, 0.229155
460, 4.600000, -0.079690, 0.308854, 0.229163
461, 4.610000, -0.079513, 0.308684, 0.229171
462, 4.620000, -0.079335, 0.308515, 0.229179
463, 4.630000, -0.079158, 0.308345, 0.229187
464, 4.640000, -0.078981, 0.308176, 0.229195
465, 4.650000, -0.078804, 0.308007, 0.229203
466, 4.660000, -0.078627, 0.307838, 0.229211
467, 4.670000, -0.078450, 0.307669, 0.229219
468, 4.680000, -0.078273, 0.307499, 0.229227
469, 4.690000, -0.078096, 0.307330, 0.229235
470, 4.700000, -0.077919, 0.307162, 0.229242
471, 4.710000, -0.077742, 0.306993, 0.229250
472, 4.720000, -0.077566, 0.306824, 0.229258
473, 4.730000, -0.077389, 0.306655, 0.229266
474, 4.740000, -0.077213, 0.306486, 0.229274
475, 4.750000, -0.077037, 0.306318, 0.229281
476, 4.760000, -0.076860, 0.306149, 0.229289
477, 4.770000, -0.076684, 0.305981, 0.229297
478, 4.780000, -0.076508, 0.305813, 0.229304
479, 4.790000, -0.076333, 0.305644, 0.229312
480, 4.800000, -0.076157, 0.305476, 0.229320
481, 4.810000, -0.075981, 0.305308, 0.229327
482, 4.820000, -0.075806, 0.305140, 0.229335
483, 4.830000, -0.075630, 0.304972, 0.229342
484, 4.840000, -0.075455, 0.304805, 0.229350
485, 4.850000, -0.075280, 0.304637, 0.229357
486, 4.860000, -0.075105, 0.304469, 0.229365
487, 4.870000, -0.074930, 0.304302, 0.229372
488, 4.880000, -0.074755, 0.304134, 0.229380
489, 4.890000, -0.074580, 0.303967, 0.229387
490, 4.900000, -0.074406, 0.303800, 0.229395
491, 4.910000, -0.074231, 0.303633, 0.229402
492, 4.920000, -0.074057, 0.303466, 0.229409
493, 4.930000, -0.073883, 0.303299, 0.229417
494, 4.940000, -0.073709, 0.303133, 0.229424
495, 4.950000, -0.073535, 0.302966, 0.229431
496, 4.960000, -0.073361, 0.302800, 0.229438
497, 4.970000, -0.073188, 0.302633, 0.229446
498, 4.980000, -0.073014, 0.302467, 0.229453
499, 4.990000, -0.072841, 0.302301, 0.229460
500, 5.000000, -0.072668, 0.302135, 0.229467
501, 5.010000, -0.072495, 0.301969, 0.229474
502, 5.020000, -0.072322, 0.301803, 0.229481
503, 5.030000, -0.072149, 0.301638, 0.229488
504, 5.040000, -0.071977, 0.301472, 0.229496
505, 5.050000, -0.071805, 0.301307, 0.229503
